Player,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim
Ninten,16,62.5%,3.8,1.1,2.7,9.2,0.9,247,66.2%,8.8,196,2.62,0.8,0.34,0.27,40,-1,-89,31.3%,6.3%
Nio,4,0%,2.8,0.5,3,7.8,0.4,216,66.4%,8.7,177,2.66,1.48,0.3,0.42,-190,-14,153,25%,0%
Nisqy,28,60.7%,3.6,4.2,2.6,5.3,8.4,416,64.4%,27.1,657,0.92,0.37,0.13,0.16,128,7,100,28.6%,10.7%
Nite,16,25%,1.3,2.1,3.7,2.8,9,377,53.1%,25.1,499,01.08,0.25,0.15,0.1,-449,-2,-321,6.3%,12.5%
NoBreak,1,0%,0,0,3,0,0.4,183,0%,6.3,107,1.39,0.84,0.13,0.23,-3125,-148,-3840,0%,0%
Noah,19,84.2%,6.2,6.1,2.3,7.8,10.2,509,71.4%,28.6,742,1.3,0.33,0.32,0.2,931,21,409,36.8%,10.5%
Noltey,21,61.9%,4.5,3,2,6.2,6.1,371,68.5%,19.8,533,1.24,0.16,0.25,0.17,401,11,277,38.1%,4.8%
Noma,13,76.9%,5.5,4.2,2.1,7.2,8.2,411,67.9%,28.9,677,1.63,0.35,0.26,0.19,537,1,157,30.8%,7.7%
Nomanz,10,40%,2.3,2.4,3.1,4.6,9,406,62.8%,26.1,604,1.28,0.18,0.3,0.11,174,7,-7,30%,10%
Noodle,14,64.3%,5,3.9,2.6,9,4.6,351,68.8%,18.9,474,1.13,0.16,0.25,0.18,662,2,142,42.9%,7.1%
Notiko,12,91.7%,6.5,6.1,2.2,7.9,8.5,459,68.7%,25,721,1.15,0.23,0.27,0.09,-26,-1,-209,16.7%,0%
Nsurr,12,91.7%,4.6,0.9,3.1,13.3,0.8,278,70.6%,10.5,298,3.21,0.93,0.42,0.33,278,-4,494,25%,16.7%
NuL1,2,50%,3.2,1.5,3,8,9.1,385,76.2%,30.1,792,1.14,0.33,0.23,0.14,434,16,329,0%,0%
NuQ,10,60%,3.1,3.7,2.8,5,7.8,410,58.2%,25,569,1.35,0.25,0.16,0.16,183,2,28,30%,10%
Nugu,6,0%,1,2,3.7,1.5,8.1,352,37.3%,21.1,366,0.92,0.1,0.21,0.21,-703,-8,-176,16.7%,33.3%
Nxi,30,3.3%,1.5,1.4,3.1,3.1,5.6,305,65.6%,14.2,256,0.97,0.12,0.24,0.15,-818,0,-231,23.3%,10%
Nyx,16,43.8%,2.6,1.6,2.9,6.2,5.3,315,73.4%,16.3,310,1.55,0.17,0.3,0.23,-361,3,-74,37.5%,18.8%
OMON,12,58.3%,3.6,4.6,3.2,6.8,8.1,408,75%,25.9,655,01.02,0.28,0.15,0.19,329,5,184,25%,8.3%
ON,33,54.5%,3.3,0.8,2.7,8.3,0.9,247,73.8%,8.9,206,-,-,-,-,-,-,-,-,-
Obelisk,13,53.8%,3.2,2.7,2.6,5.6,7.7,389,52.4%,24.9,546,1.13,0.24,0.17,0.09,-55,-11,-129,30.8%,15.4%
Obsess,16,25%,1.6,1.6,4.3,5.3,5.2,311,69.6%,15.3,304,1.52,0.25,0.4,0.25,-587,-5,-314,6.3%,31.3%
Obstinatus,18,77.8%,4.1,0.9,2.9,11.2,0.9,256,80.8%,10.8,249,3.6,1.2,0.53,0.39,210,-2,105,33.3%,11.1%
Oddie,17,58.8%,4.3,2.8,2.4,7.6,5.5,345,68.4%,13.3,314,1.46,0.2,0.32,0.3,252,-1,-60,47.1%,11.8%
