Player,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim
Raffi,1,0%,3,1,2,5,5.4,308,85.7%,15.1,270,1.59,0.13,0.36,0.17,188,13,753,100%,0%
Rafitta,18,27.8%,2.6,2.7,2.8,4.7,8.9,393,70.3%,24.6,539,0.9,0.27,0.19,0.16,-514,-6,-298,5.6%,11.1%
Ragner,16,62.5%,4.1,2.3,2.1,6.1,8.3,390,55.5%,19.8,447,1.23,0.32,0.19,0.16,369,1,42,18.8%,0%
Rahel,40,70%,6,4.6,1.6,4.8,10.4,470,62.3%,28.2,600,1.47,0.38,0.42,0.16,265,9,68,10%,17.5%
Raider,18,44.4%,2.6,3.2,2.6,3.4,8.8,407,51%,24.1,493,0.9,0.25,0.15,0.13,39,4,74,11.1%,5.6%
Raina,24,41.7%,2.7,0.8,2.9,6.9,0.9,238,64.3%,9.5,202,2.7,0.82,0.43,0.46,-290,-1,-235,4.2%,37.5%
Raining,11,18.2%,3,4.3,2.9,4.5,8.7,416,66.4%,29.2,724,01.04,0.33,0.18,0.12,-364,-2,-36,18.2%,27.3%
Rames,12,33.3%,2,1.2,3.8,6.3,4.8,300,75.3%,13.3,292,1.24,0.14,0.27,0.27,-329,-8,-226,33.3%,0%
Random,18,50%,2.6,4.4,4,6,8.4,412,68.8%,26.6,698,01.07,0.3,0.16,0.08,-6,3,157,22.2%,5.6%
Ranger,14,71.4%,3.2,1.8,3.3,8.9,5.6,345,64.9%,14,355,1.59,0.25,0.31,0.29,-201,1,-35,28.6%,0%
RapMonsters,13,7.7%,1.9,2.5,3.1,3.2,7.6,355,54.2%,25.8,522,0.84,0.25,0.13,0.12,-336,-1,-210,15.4%,0%
Raptor,30,20%,2.1,1.7,3.9,6.4,4.9,303,81.5%,18,374,1.69,0.28,0.39,0.3,-350,-2,-230,16.7%,16.7%
Rascal,36,27.8%,1.6,1.9,2.9,2.8,8.4,378,62.4%,22.5,461,01.02,0.26,0.23,0.18,-154,-5,-191,19.4%,16.7%
Rassiel,1,100%,3.5,1,6,20,0.3,254,75%,6.2,216,2.45,0,0.22,0.44,-149,-24,-1080,100%,0%
Raxxo,16,56.3%,3,0.5,3.1,8.7,1,229,73.2%,8.3,177,2.97,0.88,0.35,0.38,19,1,-164,31.3%,0%
Ray,16,93.8%,6,3.9,1.8,7,8.7,446,61.3%,28,678,1.4,0.32,0.22,0.18,692,12,269,31.3%,12.5%
RayFarky,24,41.7%,2.9,3.3,2.2,3,8.4,403,48.1%,23.4,505,0.94,0.18,0.17,0.15,368,13,164,20.8%,12.5%
Rayito,16,81.3%,7.7,5.3,1.4,5.8,9.1,442,72.8%,30.2,729,0.95,0.29,0.19,0.19,-198,-9,-170,25%,6.3%
Rayming,2,0%,0.5,0.5,6,2.5,8.5,342,26.5%,18.2,393,0.67,0.22,0.17,0.1,-514,-4,-304,0%,50%
Razork,9,22.2%,1.8,2.8,4.6,5.3,5.5,339,81.3%,19.5,458,1.62,0.25,0.4,0.22,-283,2,135,11.1%,22.2%
Reaper,14,21.4%,2.6,3.5,3.1,4.6,8.4,389,70.7%,23.9,518,0.93,0.28,0.2,0.2,-598,-10,-280,14.3%,21.4%
Reble,30,70%,5.8,0.5,1.8,10,0.8,250,75.1%,8.5,197,2.88,1.38,0.35,0.44,189,0,-114,40%,0%
Recap,23,47.8%,3,2.3,2.3,4.7,7.8,360,63%,21.2,430,01.05,0.22,0.25,0.16,-243,-1,44,21.7%,8.7%
RedBert,10,30%,2.6,1.4,2.8,5.8,0.9,233,67.6%,11.2,201,2.91,1.32,0.44,0.51,-58,1,288,40%,0%
Reeker,16,56.3%,4.5,3.7,2.1,5.9,8.6,414,73.2%,25.4,613,01.07,0.24,0.25,0.21,-483,-3,8,6.3%,0%
Reiska,13,23.1%,1.9,4.6,3.8,2.7,8.5,398,59%,31,657,0.88,0.26,0.11,0.15,-201,3,-20,15.4%,15.4%
Rekkles,9,22.2%,3.2,2.9,1.9,3.1,9.7,422,54.1%,26.3,601,1.44,0.58,0.37,0.17,-881,-4,-440,0%,22.2%
Relative,21,71.4%,5.2,3.3,1.8,5.8,8.3,404,55.4%,23,557,1.21,0.39,0.2,0.16,112,0,-145,14.3%,0%
Relhia,17,17.6%,1.2,2.2,4.2,2.6,7.4,350,48.2%,23.1,449,0.7,0.21,0.11,0.12,-993,-16,-664,0%,17.6%
Remix,14,7.1%,1.8,2.2,3,3.1,8.9,374,51.4%,27.3,546,0.91,0.24,0.22,0.13,-621,-6,-429,0%,0%
Reptile,8,100%,12,4.3,1,7.8,10,460,68.1%,27,556,1.73,0.43,0.41,0.12,112,-4,114,25%,0%
Rest,17,70.6%,3.1,2.9,2.5,4.8,8.5,412,52.7%,23.9,537,0.98,0.2,0.18,0.12,371,8,208,17.6%,5.9%
Revenge,14,21.4%,1.6,1.5,3.2,3.6,8.1,359,57.9%,21.2,466,0.88,0.27,0.13,0.15,-145,1,-131,7.1%,21.4%
Reyzoasda,2,0%,1.2,0,3,3.5,0.7,203,63.3%,12.6,222,2.15,1.36,0.16,0.42,-434,-2,39,0%,0%
Rezso,13,7.7%,1.4,1.7,3.7,3.4,7.1,336,42.3%,18.6,402,0.82,0.23,0.15,0.03,-1180,-22,-357,0%,15.4%
Rhilech,13,76.9%,3.9,3,2.8,7.9,5.5,370,67.8%,15.6,353,1.8,0.25,0.42,0.25,845,2,104,30.8%,23.1%
Rhuckz,11,36.4%,3.8,0.5,2.6,9.6,0.9,229,74.4%,7,162,2.86,1.65,0.31,0.36,-448,0,140,0%,9.1%
Ribu,7,0%,0.8,0.9,3.7,2.3,8,327,41.1%,25,455,0.74,0.33,0.11,0.07,-632,-11,-423,0%,0%
Rich,1,0%,2,0,4,8,6.7,334,50%,17.9,524,-,-,-,-,-,-,-,-,-
Rift,17,41.2%,3.8,4.1,2.2,4.4,10.2,447,77.7%,30.6,625,0.88,0.19,0.24,0.06,-90,7,-80,29.4%,11.8%
Rifty,14,78.6%,3.3,2,2.2,5.4,7.4,371,48.5%,15.3,378,0.84,0.23,0.1,0.08,-142,0,-289,14.3%,14.3%
Riku,18,44.4%,3.7,4.2,2.4,4.6,9,424,62.8%,25.7,562,0.94,0.23,0.25,0.02,-332,-3,22,27.8%,22.2%
Rin,18,83.3%,6.2,5.9,2.4,9,8.6,450,63%,24.2,703,1.76,0.37,0.31,0.16,315,-2,67,27.8%,0%
River,14,57.1%,4.6,2.3,2.1,7.1,5.1,327,74.7%,15.4,334,1.62,0.23,0.39,0.3,-58,-2,-130,35.7%,0%
Roamer,33,63.6%,4.7,3.3,2.1,6.7,8.4,397,62.9%,26.6,576,1.14,0.28,0.26,0.25,231,2,141,24.2%,21.2%
Robba,13,76.9%,3.6,3.7,2.6,5.8,8.2,411,52.7%,23.7,570,01.09,0.24,0.17,0.12,-330,-1,-260,23.1%,7.7%
RobbyBob,10,60%,2.3,1.9,3.5,6.1,7.5,362,52.5%,24.2,469,0.97,0.28,0.2,0.09,-773,-14,-284,20%,10%
Robo,14,57.1%,1.8,2.3,3.5,3.9,7.9,381,52.4%,21.4,471,1.22,0.34,0.2,0.17,-458,-3,-311,0%,14.3%
Roi DEMON,17,58.8%,2.6,3.1,3.9,7.2,5.4,354,62.3%,19.8,466,1.58,0.22,0.32,0.16,-194,-5,-148,29.4%,5.9%
Roison,18,77.8%,6.6,3.7,1.9,9.2,8,410,69.3%,27.3,723,1,0.25,0.13,0.09,149,7,257,11.1%,5.6%
Romuka,12,58.3%,2.4,2.2,2.8,4.5,7.8,382,46.8%,21.1,511,0.88,0.26,0.1,0.15,580,7,301,8.3%,8.3%
RonOP,13,69.2%,5,0.5,1.9,9.2,1.2,252,67.7%,7.4,149,2.7,0.29,0.36,0.52,-56,2,102,23.1%,7.7%
RooKie,26,65.4%,6.5,4.5,1.5,5.2,8.5,420,62.5%,28.7,691,-,-,-,-,-,-,-,-,-
Rooster,40,62.5%,4.1,2.4,1.9,5.3,7.8,380,50%,20.6,448,0.94,0.24,0.16,0.14,98,-2,126,17.5%,7.5%
RoseThorn,31,61.3%,3.3,2.2,3.3,8.6,5.1,342,75.2%,17.1,364,1.41,0.24,0.32,0.2,-22,1,73,29%,12.9%
RotteBengi,18,33.3%,1.9,0.9,3.9,6.5,2.1,249,65.6%,10.7,213,2.12,0.85,0.27,0.21,-372,2,-356,38.9%,5.6%
Route,14,57.1%,4.1,3.8,2.4,5.8,9.1,427,74.8%,28.4,673,1.33,0.33,0.31,0.19,-32,0,-56,28.6%,7.1%
Rovex,30,20%,1.3,0.7,3.9,4.3,1.2,224,49.6%,7.7,159,2.34,0.97,0.32,0.22,-482,7,8,13.3%,6.7%
Ruby,14,35.7%,2.9,3.1,3.4,6.5,8.7,407,64.8%,28.2,656,1.13,0.46,0.21,0.17,-72,-1,-171,7.1%,21.4%
Ruep,12,33.3%,2.1,2.9,2.8,3,8.6,394,61.4%,23.7,530,1.25,0.2,0.33,0.15,-542,-11,-184,16.7%,25%
Ruf,18,50%,2.8,4.8,3.8,5.8,9,442,63%,26.7,657,1.22,0.28,0.27,0.1,-79,-2,-24,16.7%,11.1%
Rufus,11,54.5%,3.5,0.9,4.1,13.5,0.8,251,78.5%,10.1,272,2.9,1.21,0.33,0.52,222,-1,150,27.3%,27.3%
Ruler,27,74.1%,8.6,4.7,1.1,5.2,9.8,473,59.8%,24,617,-,-,-,-,-,-,-,-,-
Rulfchen,16,37.5%,2.9,2.3,3.3,7.3,5.3,333,71.4%,16.1,365,1.48,0.2,0.38,0.26,-69,6,61,25%,6.3%
Rune,18,22.2%,2,2.3,2.6,2.9,7.9,367,45.7%,20.4,427,0.99,0.28,0.15,0.04,-287,0,6,33.3%,5.6%
Rust,14,50%,3.4,4.4,2.8,5.2,8.9,430,62.6%,25.6,668,0.67,0.18,0.15,0.06,-134,2,-18,14.3%,7.1%
Ry0ma,20,20%,2.3,4.1,3.5,3.9,8.4,401,68.4%,32.2,653,0.81,0.21,0.16,0.09,62,2,-27,50%,5%
Ryanzin,14,21.4%,2.1,3.6,3.7,4.1,8.3,396,63.2%,28.1,599,1,0.26,0.17,0.15,-208,3,-65,7.1%,14.3%
Rylle,13,76.9%,6.4,3.6,1.3,4.7,9.2,422,57.1%,19.1,437,1.14,0.31,0.2,0.13,239,9,300,15.4%,0%
Ryuzaki,19,84.2%,7.6,4.8,1.9,9.6,5.6,385,71%,17,446,1.57,0.28,0.35,0.18,516,0,146,42.1%,5.3%
S0bek,17,58.8%,2.9,2.5,2.6,5.1,7.9,391,53%,20,490,1.15,0.24,0.22,0.2,18,0,52,11.8%,5.9%
S0ul,30,33.3%,2.4,1.4,2.5,4.6,7.6,351,45.2%,21.5,432,01.07,0.32,0.17,0.17,-321,-10,-233,10%,10%
SENPAIII,7,28.6%,3.4,3.3,2.3,4.4,8.3,390,76%,24.7,413,0.75,0.11,0.16,0.17,-217,-11,-575,14.3%,0%
SMILEY,16,68.8%,4.3,4.3,2.3,5.3,9.4,457,65.5%,26.4,667,1.42,0.3,0.31,0.13,931,22,733,31.3%,12.5%
SSADY,6,16.7%,1.9,1.8,3,3.8,7.3,356,67.1%,22.8,454,01.06,0.31,0.16,0.24,-579,-16,-380,33.3%,33.3%
ST3PZ,14,64.3%,5.7,5.3,2.1,6.4,8.5,425,59%,24.6,616,1.3,0.34,0.29,0.25,27,0,-54,42.9%,14.3%
Sacre,16,68.8%,3.8,2.1,2,5.4,8.2,389,51.4%,24.4,546,1.12,0.3,0.16,0.12,-261,-6,-144,6.3%,6.3%
Sahira,14,64.3%,4.2,5.2,2.8,6.4,8.4,414,59.5%,26.5,671,01.06,0.27,0.13,0.12,243,-1,-261,14.3%,7.1%
Saint,1,0%,0.4,0,5,2,9.3,365,25%,19.6,575,1.65,0,0.22,0.05,-692,2,-127,0%,100%
Saintsu,10,0%,1,1.6,5.3,3.7,4.8,290,64%,15.7,281,01.05,0.24,0.21,0.19,-1090,-9,-561,50%,10%
Sajator,18,61.1%,2.4,3.6,3.4,4.6,8.7,402,53%,25.7,587,1.1,0.2,0.22,0.12,-453,-2,-167,5.6%,27.8%
Saken,16,43.8%,2.5,3.1,3.3,5.1,8.2,384,63.7%,27.9,615,1.41,0.36,0.25,0.17,84,3,3,18.8%,6.3%
Samkz,14,64.3%,4.4,3.7,3,9.4,5.1,355,69.4%,16.6,436,1.38,0.34,0.23,0.32,302,1,87,35.7%,7.1%
San1,18,55.6%,4,4.1,2.8,7.1,8.6,411,59.9%,26.8,698,1.25,0.32,0.3,0.16,-468,-7,-40,5.6%,11.1%
Sanity,2,100%,5.8,1,2.5,13.5,0.7,282,78.4%,9.5,251,2.86,1.42,0.29,0.34,400,-9,112,50%,0%
Santorin,14,14.3%,2,1.2,2.9,4.5,4.8,288,66.7%,14,276,1.74,0.18,0.5,0.25,-308,-8,-395,35.7%,7.1%
Satorius,18,83.3%,5.6,5.2,2.3,7.9,6.9,398,53.9%,20.8,613,1.13,0.33,0.15,0.15,538,13,323,22.2%,5.6%
Saulius,18,38.9%,2.6,3.7,2.9,3.8,8.8,413,59.5%,26.7,582,1.27,0.3,0.22,0.11,177,4,58,11.1%,22.2%
Savero,16,81.3%,4.3,3.3,2.8,8.7,5.1,340,64.9%,10.9,287,1.38,0.25,0.32,0.27,-528,-9,-274,37.5%,6.3%
Sayna,3,33.3%,2.6,2.7,2.3,3.3,7.9,394,55.4%,23.9,579,0.99,0.16,0.17,0.26,-39,1,223,0%,0%
Scarface,18,44.4%,2.6,2.4,2.4,3.9,8.1,391,56%,23.9,473,1,0.31,0.13,0.18,-8,0,-67,11.1%,5.6%
Scarlet,21,57.1%,4.6,6,2.9,7.3,8.5,442,68.7%,29.5,824,1.17,0.34,0.18,0.12,729,10,361,19%,9.5%
Scaryride,5,20%,4.9,0,1.4,6.8,0.6,204,88.5%,5,95,1.84,0.95,0.19,0.34,-531,-8,-234,20%,20%
Scorth,12,41.7%,4.3,5.1,2.3,4.6,9.8,450,78.3%,28,622,1.32,0.18,0.31,0.15,-302,3,56,33.3%,0%
Scout,25,76%,6.5,5.3,1.9,6.9,9.1,448,73.2%,26.7,660,-,-,-,-,-,-,-,-,-
Scripter,9,0%,1.7,3.2,3.9,3.4,8.5,388,66.9%,27.7,577,0.87,0.27,0.25,0.08,-396,-1,-263,22.2%,0%
Scuffed,7,14.3%,1.4,3,5,3.9,7.3,351,60.2%,25,552,0.87,0.14,0.15,0.08,-702,-10,-561,0%,57.1%
Scuro,14,35.7%,3.9,0.6,3,10.9,0.8,240,78.5%,11,280,03.04,1.27,0.41,0.6,-65,-1,74,21.4%,14.3%
SeTab,36,63.9%,2.5,2.8,2.9,4.6,8.8,400,60.4%,27.6,613,1.17,0.26,0.28,0.17,91,7,-4,19.4%,19.4%
Seal,16,68.8%,4.4,1.9,2.6,9.4,1.3,261,78.6%,10.6,232,3.54,1.1,0.64,0.33,160,6,197,50%,12.5%
Seaz,18,33.3%,2.5,0.4,3.2,7.3,0.9,225,72.7%,8.2,161,2.94,0.94,0.36,0.34,-6,2,249,27.8%,5.6%
Sebal,8,12.5%,1.3,1.8,5.5,5.3,4.8,295,70%,14.5,293,0.85,0.07,0.17,0.12,-1176,-14,-950,0%,25%
Sebekx,13,30.8%,2,2.5,3.2,3.9,8.7,387,64.4%,28.8,554,01.06,0.27,0.15,0.14,-466,3,-50,15.4%,0%
Sebi,8,25%,1.7,0.4,4.8,7.6,1.2,227,59.9%,10.4,229,1.95,0.52,0.3,0.1,-534,-7,-125,12.5%,25%
Seelame,1,0%,1.3,2,4,3,9.6,400,55.6%,25.9,434,1.46,0.4,0.56,0.1,452,-4,88,0%,0%
Seize,14,85.7%,3.5,2.9,3.6,9.6,4.8,325,73.2%,14.1,336,1.66,0.18,0.39,0.29,-22,-6,-79,35.7%,7.1%
Senceless,21,71.4%,4.8,1.1,2.4,10.2,1.1,270,69.7%,12.2,297,2.87,01.03,0.4,0.27,206,3,172,28.6%,4.8%
Sencux,16,56.3%,4.1,2.9,1.9,4.9,8.4,391,65.1%,25.2,559,01.07,0.28,0.16,0.19,195,5,17,12.5%,6.3%
Septico1,17,35.3%,1.9,2.2,3.4,4.2,8,382,53.3%,24.2,457,1.23,0.22,0.14,0.13,116,7,379,29.4%,17.6%
Seranok,18,5.6%,1.2,1.3,3.3,2.8,7.7,335,57.6%,26.7,497,0.99,0.44,0.12,0.16,-880,-6,-384,0%,5.6%
Serendip,17,52.9%,3,3.4,2.8,4.9,8.9,408,66.2%,27,544,1.31,0.44,0.18,0.31,550,15,216,35.3%,5.9%
Serin,11,54.5%,6.3,3.2,1.4,5.5,8.5,400,76%,28.1,540,0.94,0.13,0.19,0.07,253,-5,141,36.4%,0%
Sertuss,20,60%,4.6,3.3,1.8,5.1,8.1,386,60.1%,26,574,1.17,0.44,0.21,0.16,-254,-3,-97,0%,15%
SevenArmy,18,38.9%,2.9,2.5,3.6,7.9,5,334,67.1%,13.6,395,1.67,0.32,0.38,0.24,45,-2,126,50%,5.6%
Shad0w,2,0%,1.9,0.5,4.5,8,4.2,275,92.1%,21.1,424,-,-,-,-,-,-,-,-,-
Shadow,14,85.7%,11.2,0.9,1.3,13.5,0.9,278,82.5%,9.7,229,2.8,01.09,0.34,0.36,482,1,198,35.7%,0%
ShadowUS,2,50%,3,1,4,11,4,303,69.1%,9.7,293,1.7,0.3,0.35,0.32,-868,-7,-344,0%,0%
Shanks,29,41.4%,3.4,3.8,2.4,4.4,8.8,416,64%,26.7,595,-,-,-,-,-,-,-,-,-
Shaolin,14,21.4%,2,2.8,4,5.1,7.7,362,63.3%,24.2,526,01.05,0.27,0.13,0.11,-308,-1,-214,28.6%,0%
ShawiKatami,19,78.9%,5.8,1.1,2.2,11.4,1,259,62.5%,7.2,180,2.95,01.06,0.4,0.42,2,-1,-226,26.3%,10.5%
Sheiden,30,33.3%,2.4,3.4,3.4,5,5.6,340,67.1%,16.1,342,1.17,0.21,0.27,0.26,-69,-2,-60,50%,6.7%
Sheo,15,46.7%,3.2,2.1,2.9,7.3,5,315,63.1%,15.3,349,1.82,0.35,0.43,0.21,-457,-2,-166,60%,0%
Shernfire,13,69.2%,4.1,2.6,3,9.7,5.4,354,76.3%,16.4,376,1.67,0.43,0.33,0.28,482,15,598,46.2%,15.4%
Shiganari,16,56.3%,4,4,2.3,5.3,8.9,424,56.8%,25,510,1.28,0.31,0.27,0.16,-93,-4,-40,25%,18.8%
Shinki,10,10%,1.3,0.4,3.8,4.7,0.9,210,49.8%,10.2,182,02.06,0.93,0.25,0.25,-751,3,-304,0%,0%
Shlatan,16,50%,1.9,1.8,3.3,4.6,5.4,312,65.5%,12.3,234,1.4,0.29,0.32,0.34,-273,-1,-153,18.8%,25%
Shogun,11,45.5%,4.2,4.6,2.4,5.4,9.8,450,77.9%,29,674,1.32,0.08,0.27,0.14,-63,4,108,36.4%,9.1%
Shone,12,0%,1.2,0.7,4.1,4.4,0.8,217,61%,9.7,166,1.81,0.72,0.24,0.32,-842,-1,-408,16.7%,16.7%
ShowMaker,33,72.7%,5.7,2.8,1.4,5.2,8.8,399,63.6%,26.1,600,1.34,0.37,0.29,0.28,26,1,121,12.1%,12.1%
Shoyo,12,25%,1.6,0.8,4.7,6.9,0.9,222,61%,10.1,196,1.87,0.68,0.23,0.25,-756,-4,-677,0%,0%
Shu Hari,17,58.8%,4.3,0.6,2.4,9.5,0.9,236,76%,8.3,183,2.42,0.93,0.31,0.4,-103,-3,102,29.4%,11.8%
Shunn,17,70.6%,5.2,4.4,1.8,5.1,9.5,452,62.7%,26,572,1.51,0.37,0.41,0.19,308,8,276,41.2%,11.8%
Shy Carry,13,92.3%,10.8,5.9,1.2,6.5,9.5,468,75.3%,26.5,665,1.1,0.27,0.29,0.07,171,5,88,15.4%,0%
Shyelander,12,16.7%,1.9,1.8,4.9,7.7,4.9,301,70.1%,15.6,355,1.34,0.19,0.28,0.2,-728,-5,-335,33.3%,16.7%
SiddyWiddy,30,20%,1.6,2,4.1,4.8,5.9,335,65.2%,18.5,389,1.18,0.22,0.22,0.19,-12,6,180,36.7%,13.3%
Simpli,16,68.8%,4.5,3.9,2.3,6.3,8.5,406,66%,25.2,575,0.93,0.22,0.21,0.13,-217,-7,-211,12.5%,6.3%
Simpy,16,87.5%,8.3,0.8,1.8,13.7,1,264,80.1%,6.3,162,2.75,0.74,0.39,0.3,333,-3,239,25%,18.8%
Sinmivak,18,33.3%,2.4,1.9,2.5,4.2,7.7,372,49.9%,22.7,428,1.13,0.32,0.14,0.15,61,-9,-23,22.2%,16.7%
Sintax,17,52.9%,3.5,2.5,2.4,5.8,7.5,359,62.9%,22.5,489,01.08,0.33,0.14,0.14,-503,-18,-340,17.6%,11.8%
Sirinox,14,50%,4.6,3.5,2,5.8,7.8,379,70.3%,26.9,560,1.17,0.36,0.25,0.16,-714,-14,-296,21.4%,0%
Sivvy,14,28.6%,3,1.1,3.8,10.1,1.1,236,77.5%,8.8,194,2.72,0.92,0.39,0.38,-167,6,-315,42.9%,7.1%
Six10,13,76.9%,6.9,4.5,1.5,6.2,9.3,453,66.2%,22.4,602,0.96,0.18,0.16,0.17,692,19,499,7.7%,0%
Sjakal,10,30%,2.3,5,4.5,5.5,5.5,375,77.5%,20.6,436,01.09,0.19,0.16,0.27,-20,-2,-49,70%,10%
SkB,14,21.4%,2,1.8,3.4,5.1,8.1,367,55%,21.5,459,1.2,0.39,0.18,0.26,4,4,-3,21.4%,0%
SkaR,2,50%,2.7,2.5,3.5,7,7.5,361,57.2%,12.1,394,0.94,0.29,0.15,0.12,278,3,156,0%,50%
Skeanz,16,43.8%,2.9,2.6,3,6,4.8,317,71.3%,15.5,344,1.54,0.25,0.34,0.28,-47,-8,-222,37.5%,0%
Sketch,30,3.3%,1.5,1,3.3,4.1,3.4,264,71%,16.6,303,1.66,0.52,0.23,0.22,-748,-11,-364,36.7%,16.7%
SkewMond,16,56.3%,4.4,3,2.4,7.7,5.3,334,68.6%,15.6,326,1.69,0.23,0.38,0.22,-44,-2,-14,18.8%,0%
Skewed,4,50%,2.5,2.8,2.8,4.3,4.7,332,63.6%,11.9,264,1.54,0,0.38,0.27,-84,-14,-231,25%,25%
Skude,18,55.6%,2.7,2.8,4.2,8.5,5.3,340,68.4%,16.1,417,1.32,0.28,0.29,0.26,-21,0,153,27.8%,16.7%
SkyTec,30,46.7%,2.6,0.8,3.6,8.6,1,242,75.8%,9.7,235,2.73,1.1,0.35,0.24,-37,-1,20,20%,26.7%
SkyeSunday,4,75%,5,4.3,2.3,7,7.1,394,51.9%,18.8,545,01.02,0.28,0.12,0.18,-124,0,194,25%,0%
Sl4shD,12,91.7%,4.2,3.3,2.3,6.5,7.6,402,49.9%,20.9,590,1.28,0.28,0.11,0.11,710,13,350,41.7%,8.3%
Slayder,7,57.1%,4.4,5.1,2.1,4.3,9.9,465,66.1%,21.9,473,1.23,0,0.32,0.15,-37,7,14,28.6%,28.6%
Sleyer,17,58.8%,2.6,3.8,3.1,4.4,7.9,392,51.3%,21.6,508,01.04,0.22,0.21,0.08,40,3,-235,23.5%,11.8%
Slipper,18,27.8%,1.9,0.9,3.8,6.3,1.2,237,76.6%,8.2,159,2.43,0.87,0.35,0.28,-54,2,-12,22.2%,5.6%
Sloth,12,33.3%,3.5,0.7,2.1,6.6,0.8,232,75%,8.3,179,2.82,0.79,0.36,0.49,-197,2,-336,25%,16.7%
SlowQ,19,84.2%,4.6,4.8,2.5,6.5,8,416,56.1%,22.5,586,1.15,0.33,0.18,0.2,252,3,304,26.3%,0%
Slowz,10,0%,1.3,2.4,3.9,2.8,8.3,375,69.8%,27.6,459,0.89,0.05,0.28,0.09,-401,-10,-332,10%,0%
Slyv3r,14,50%,3.7,3.4,2.1,4.6,8.4,395,53.9%,22.6,485,0.92,0.26,0.17,0.14,-262,-6,92,7.1%,14.3%
Smarty,12,58.3%,2.9,0.8,3.7,9.7,1,250,70.1%,9,239,2.98,1,0.41,0.33,-70,-2,-203,50%,8.3%
Smash,42,54.8%,4.9,4.6,2,5.2,10.1,462,74.6%,27,628,1.3,0.27,0.34,0.12,220,2,-12,19%,11.9%
Smoothie,30,33.3%,2.3,1.1,3.5,6.9,0.7,232,69.3%,9.9,200,2.47,01.09,0.32,0.28,-372,-3,-268,23.3%,16.7%
Smurfe,17,64.7%,2.5,1.6,2.9,5.6,7.8,387,45.5%,22.6,513,01.04,0.25,0.17,0.12,228,8,159,11.8%,17.6%
Sn1lle,13,76.9%,4.7,3.4,2.2,6.7,5.7,357,74.3%,19.6,447,1.79,0.48,0.35,0.23,170,4,188,69.2%,7.7%
Snabi,14,21.4%,1.6,0.8,4.9,7.2,1.1,227,65.2%,8.9,184,2.51,0.85,0.32,0.33,-108,2,83,35.7%,7.1%
Snaker,17,58.8%,4.3,5.1,2.2,4.5,9.5,457,73.7%,29.5,654,1.24,0.28,0.36,0.16,-228,-2,-172,29.4%,0%
SneakyLemon,14,28.6%,2.2,2.5,3.9,6.1,5.7,337,70.5%,22.4,481,1.12,0.13,0.26,0.12,-332,3,-200,57.1%,0%
Sniper,28,64.3%,3,2.9,2.2,3.8,8.3,394,42.5%,20.8,488,0.95,0.26,0.12,0.14,-290,-3,-159,14.3%,14.3%
Soboro,12,33.3%,1.5,2.6,3.8,3,8.7,412,58.5%,28.9,633,0.93,0.16,0.16,0.06,761,22,403,8.3%,8.3%
Solid,16,43.8%,2.7,2.1,2.8,5.4,4.8,311,62.7%,10.6,241,1.3,0.22,0.33,0.29,-223,-1,1,37.5%,12.5%
Soligo,31,61.3%,3.7,3.6,2.6,6.1,8.2,401,62.9%,25.2,650,01.02,0.3,0.18,0.16,-113,4,281,19.4%,3.2%
Solokill,17,64.7%,4.3,3.2,1.9,5.1,8.5,424,57.6%,23.6,547,01.01,0.25,0.13,0.15,542,8,226,17.6%,11.8%
Sora2,9,33.3%,2.4,0.4,3.7,8.3,0.8,226,70.4%,6,134,2.83,0.35,0.4,0.53,-49,-1,-184,44.4%,22.2%
Sorn,2,0%,2.3,2,3,5,4.6,322,66.1%,21.9,506,1.59,0.75,0.26,0.46,-450,-15,-457,0%,50%
Sorya,17,58.8%,3,1.2,3.6,9.7,2.5,267,66.1%,9.7,224,1.88,0.6,0.32,0.1,129,18,755,23.5%,23.5%
Sotsy,17,41.2%,3.3,2.6,2.8,6.6,7.3,381,58%,19.2,418,1,0.26,0.15,0.18,-192,-7,-113,29.4%,0%
Soul,16,37.5%,2.5,2.5,4,7.3,5.3,333,76.5%,16,404,1.48,0.14,0.4,0.23,-384,-4,-171,12.5%,25%
Sounda,39,61.5%,3.5,2.8,2.6,6.3,5.5,338,66.2%,15.5,331,1.97,0.38,0.5,0.36,-38,-1,-20,35.9%,2.6%
Southwind,26,42.3%,2.2,0.6,3,6.2,0.9,237,65.9%,10.7,234,-,-,-,-,-,-,-,-,-
Soweto,14,71.4%,3,2.9,3.9,8.9,5.1,337,69.4%,14.1,348,1.77,0.32,0.43,0.38,352,6,289,64.3%,7.1%
Sparz,13,23.1%,3.2,0.7,3.2,9.3,0.9,227,79.4%,8.9,176,2.8,0.99,0.34,0.39,77,-1,171,46.2%,0%
Spawn,17,23.5%,2.7,3.1,2.2,2.9,8.9,398,48.9%,26.2,570,0.83,0.22,0.23,0.09,-481,-3,-289,11.8%,5.9%
Special,16,68.8%,3.8,3.8,2.4,5.3,9.2,422,57.7%,25.2,622,1.23,0.32,0.21,0.18,8,6,102,12.5%,6.3%
Speedy,11,54.5%,3.9,3.2,3,8.5,5.1,341,62.1%,14.2,388,1.47,0.31,0.29,0.22,142,-1,64,54.5%,0%
