Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Rating
Ayu,BR,SUPPORT,9,66.7%,6.3,1,1.7,9.4,1.4,269,78.2%,13.3,289,3.98,01.06,0.59,0.41,345,1,22,22.2%,33.3%,82
Bounty,BR,SUPPORT,6,16.7%,2.6,0.5,3.3,8,0.6,218,73.5%,8,162,2.84,1.51,0.35,0.54,130,2,-101,16.7%,0%,64
Cavalo,BR,SUPPORT,18,27.8%,3.1,0.9,2.7,7.2,0.8,235,77.2%,10.8,235,03.06,1.46,0.43,0.52,-231,-3,-81,22.2%,22.2%,69
Ceos,BR,SUPPORT,18,66.7%,5.3,1.3,2.1,9.9,0.9,243,77.4%,8.5,197,2.86,1.2,0.33,0.44,160,7,89,38.9%,5.6%,88
Damage,BR,SUPPORT,18,66.7%,3.5,0.4,2.6,8.7,0.8,232,72%,7.6,156,2.87,1.17,0.38,0.48,105,0,-12,27.8%,5.6%,82
Guigs,BR,SUPPORT,6,33.3%,4,1.8,2.5,8.2,1.2,252,73.3%,8.7,198,3.93,2.24,0.57,0.52,133,6,-114,16.7%,0%,69
JoJo,BR,SUPPORT,18,55.6%,5.1,0.7,2.2,10.6,0.7,243,72.9%,10.7,258,2.87,1.16,0.36,0.4,88,-5,-158,44.4%,0%,84
Krastyel,BR,SUPPORT,12,33.3%,3.9,0.7,2.9,10.8,0.9,239,70.9%,8.7,192,3.19,1.19,0.53,0.52,-3,-2,231,25%,8.3%,71
Kuri,KR,SUPPORT,10,60%,7.9,0.7,1.3,9.6,0.6,232,81.3%,8.8,175,2.7,1.3,0.26,0.44,-177,-2,-248,50%,10%,87
Nia,KR,SUPPORT,18,38.9%,2.1,1.1,4.7,8.7,1.1,248,71.6%,10,224,3.25,1.43,0.45,0.52,-105,3,13,27.8%,16.7%,69
RedBert,BR,SUPPORT,8,37.5%,3,1.6,2.5,5.8,0.8,234,71.4%,10.8,203,2.94,1.66,0.44,0.48,-110,2,447,37.5%,0%,77
Scuro,BR,SUPPORT,12,41.7%,5.1,0.8,2.3,11.2,0.8,243,79.2%,11.3,289,3,1.14,0.41,0.6,-22,-1,103,25%,8.3%,74
scamber,BR,SUPPORT,8,62.5%,4.9,1,2.1,9.4,0.9,242,69.8%,6.6,120,3.12,1.11,0.4,0.45,-112,0,-262,62.5%,0%,77
zay,BR,SUPPORT,18,66.7%,5.4,1,2.1,10.1,0.7,247,74.4%,8.1,192,03.03,1.28,0.34,0.54,-76,-3,34,27.8%,5.6%,82
